Japanese,GoogleTranslation,English,ShouldPatch
クレイン,Klein,Kulien,1
ソウガ,Souga,Stegalt,1
リヴィオン,Revion,Livion,1
ガドル,Gaddle,Gator,1
バーラット,Barrat,Barat,1
サーバス,Servers,Slythis,1
ゼウタ,Zeuta,Zatai,1
バルナーク,Balnark,Narrak,1
スレイド,Slade,Slate,1
シュレイバ,Shreiba,Shadow,1
ワルデス,Waldes,Gekai,1
ライドー,Rideau,Raitt,1
ジン,gin,Hagar,1
イシュメール,Issuer,Ishtar,1
キルレイン,Kilrane,Kilrein,1
フォーリス,Foris,Farilis,1
アレイク,Arrayk,Alex,1
フィーナ,Fina,Fiina,1
メア,Mare,Mea,1
竜人,Ryujin,Ryujin,1
マドルク,Madruk,Madruk,1
ラムダ,lambda,Ramda,1
ニール,Neil,Neil,1
バラド,Balad,Barat,1
ルーベンス,Rubens,Ruix,1
マルチナ,Martina,Marina,1
マグラード,Maglad,Phylla,1
シェラサード,Sherasard,Saharzad,1
ヘルメス,Hermes,Paine,1
ゴルディアス,Gordias,Agonni,1
ギュント,Gunto,Grudar,1
アトキンス,Atkins,Atakin,1
どくろとう,Skull,Skull,1
パンタリオン,Pantalion,Bastion,1
グルーダー,Gluder,Gruder,1
ベルターナ,Bertana,Veltarna,1
ユリシス,Ulysses,Yuri,1
ゼノン,Zenon,Zanon,1
バニラ,vanilla,Varshyl,1
ニカルモ,Nikarmo,Nyvkall,1
パーシル,Persil,Piper,1
ライオーネ,Rione,Laine,1
ミレーヌ,Milene,Mileen,1
エリーヌ,Erine,Erin,1
ハガネ,Hagane,Hagane,1
ネルソン,Nelson,Nelson,1
セルジオ,Sergio,Viper,1
バグフィー,Bug fee,Bagril,1
アイーシャ,Aisha,Aisha,1
タイレル,Tyrell,Talon,1
サターナ,Satana,Santana,1
ギガ,Giga,Gigg,1
ジャロム,Jalom,Ardor,1
ウリル,Uril,Uryll,1
キッド,Kid,Kidd,1
ラムゼイ,Ramsey,Ramzal,1
ギゼルダーク,Giselle Dark,Gyzzdark,1
ノーマリィ,Normaly,Wriph,1
ミュリア,Muria,Myria,1
コハク,Amber,Kodiak,1
ダイン,Dyne,Dayn,1
サヤカ,Sayaka,Sayaka,1
ランセツ,Lansetsu,Sliver,1
クモン,Kumon,Kumonn,1
キョウエン,Kyoen,Kyoem,1
ノイキス,Neukis,Norse,1
シルビー,Silvie,Silva,1
ディアンド,Diand,Diablo,1
ハリル,Haril,Faliel,1
ヅバン,Duban,Tzuvan,1
ヘム,Heme,Helm,1
ガスパー,Gaspar,Gaspar,1
マーシャル,Marshall,Rykker,1
ガンラド,Ganrad,Gunner,1
ヨーグ,Yog,Yuug,1
グスタフ,Gustav,Gustav,1
ギョル,Gyeol,Golem,1
ザド,Zado,Zado,1
グインガル,Guingal,Vangal,1
シェルン,Sheln,Cher,1
ヒックス,Hicks,Hikkis,1
カトマンドゥ,Kathmandu,Katmando,1
セーラ,Sarah,Sierra,1
エンドリュー,Endrew,Lone,1
ロック,rock,Rock,1
ヒルダ,Hilda,Hilga,1
ボルガノ,Volgano,Borgon,1
カティス,Katis,Katis,1
ビューネ,Bune,Phylicia,1
ミルティア,Miltia,Milishea,1
クロフォード,Crawford,Crawford,1
ランドルフ,Randolph,Randolph,1
シド,Sid,Saul,1
タウザ,Tauza,Taulus,1
イグラシオ,Igracio,Ogredd,1
リスキーマ,Reschema,Ryskim,1
ハイム,Heim,Vlad,1
シロウ,Shirou,Shirou,1
ハヤテ,Hayate,Hayate,1
ジョシュア,Joshua,Scar,1
オルテガ,Ortega,Ortega,1
キリコ,Chirico,Cinna,1
アイロス,Airos,Ayrios,1
ユニ,Uni,Yuni,1
マニ,Mani,Katt,1
バギ,Bugi,Baghib,1
ラギ,Ragi,Rygar,1
ライザック,Lizak,Raizak,1
シャイア,Shire,Shaia,1
ユイカ,Yuika,Yanna,1
ガリウス,Garius,Garyus,1
メノルカ,Menorca,Bardal,1
トイス,Toys,Tsugal,1
ソフィー,Sophie,Sophie,1
ラ・デリ,La Deli,Presto,1
ホウライ,Horai,Mistal,1
シオン,Zion,Shione,1
バクラ,Bakura,Jackal,1
ジュウベエ,Juubee,Zagat,1
ラインノール,Reinnor,Reiner,1
デュラン,Durand,Duran,1
マノア,Manoa,Manoa,1
グレン,Glen,Gulen,1
リリア,Lilia,Lyria,1
グレイス,Grace,Scythe,1
カルハザード,Cal Hazard,Kharhaz,1
ギデオン,Gideon,Gaul,1
リンク,Link,Link,1
ニーナ,Nina,Nina,1
ソマリオン,Somalion,Galam,1
ロウ,Rowe,Rudger,1
ジュノーン,Junon,Junon,1
ゴンゴス,Gongos,Gongos,1
レオン,Leon,Leon,1
レイナート,Reinert,Reinhart,1
ミカヅキ,Mikazuki,Mikhal,1
ティリス,Tyris,Teiris,1
ゴルダーク,Gordark,Goldark,1
ウェイン,Wayne,Wein,1
ｱﾔﾒ･ﾏﾂﾘ,Ame Manri,Ayame & Matsuri,1
ﾊｰｾﾙﾄﾞ,Hasseld,Harseld,1
ﾙﾌｽ,Rufus,Rufas,1
ｻﾞｯｸ,Backpack,Zakk,1
ｾﾙﾋﾟｱ,Selfia,Sylphia,1
ｽﾃｨｱ,Steer,Fyffer,1
ﾛｸﾞ,Log,Rog,1
ｳﾞｫｲﾄﾞ,Void,Voitt,1
ｷﾞｨﾙﾃ,Guilte,Gilette,1
ｴﾅ,Ena,Enya,1
ﾌｪﾘｰﾅ,Felina,Fern,1
ｸﾚｲﾝ,Crane,Kulien,1
ｿｳｶﾞ,Souga,Stegalt,1
ﾘｳﾞｨｵﾝ,Lion,Livion,1
ｶﾞﾄﾞﾙ,Gaddle,Gator,1
ﾊﾞｰﾗｯﾄ,Barrat,Barat,1
ｻｰﾊﾞｽ,Service,Slythis,1
ｾﾞｳﾀ,Zeuta,Zatai,1
ﾊﾞﾙﾅｰｸ,Balnak,Narrak,1
ｽﾚｲﾄﾞ,Slade,Slate,1
ｼｭﾚｲﾊﾞ,Shreber,Shadow,1
ﾜﾙﾃﾞｽ,Worlds,Gekai,1
ﾗｲﾄﾞｰ,Ride,Raitt,1
ｼﾞﾝ,Gin,Hagar,1
ｲｼｭﾒｰﾙ,Ishimeru,Ishtar,1
ｷﾙﾚｲﾝ,Kilrane,Kilrein,1
ﾌｫｰﾘｽ,Foris,Farilis,1
ｱﾚｲｸ,Arake,Alex,1
ﾌｨｰﾅ,Finer,Fiina,1
ﾒｱ,Mare,Mea,1
ﾘｭｳｼﾞﾝ,Ryujin,Ryujin,1
ﾏﾄﾞﾙｸ,Madruk,Madruk,1
ﾗﾑﾀﾞ,Lambda,Ramda,1
ﾆｰﾙ,Neil,Neil,1
ﾊﾞﾗﾄﾞ,Balad,Barat,1
ﾙｰﾍﾞﾝｽ,Rubens,Ruix,1
ﾏﾙﾁﾅ,Multina,Marina,1
ﾏｸﾞﾗｰﾄﾞ,Maglad,Phylla,1
ｼｪﾗｻｰﾄﾞ,Sheller Sard,Saharzad,1
ﾍﾙﾒｽ,Hermes,Paine,1
ｺﾞﾙﾃﾞｨｱｽ,Gordias,Agonni,1
ｷﾞｭﾝﾄ,Gunto,Grudar,1
ｱﾄｷﾝｽ,Atkins,Atakin,1
ﾄﾞｸﾛﾄｳ,Dokuroto,Skull,1
ﾊﾟﾝﾀﾘｵﾝ,Pantalion,Bastion,1
ｸﾞﾙｰﾀﾞｰ,Grunder,Gruder,1
ﾍﾞﾙﾀｰﾅ,Beltana,Veltarna,1
ﾕﾘｼｽ,Ulysses,Yuri,1
ｾﾞﾉﾝ,Zenon,Zanon,1
ﾊﾞﾆﾗ,Vanilla,Varshyl,1
ﾆｶﾙﾓ,Nikarmo,Nyvkall,1
ﾊﾟｰｼﾙ,Persill,Piper,1
ﾗｲｵｰﾈ,Rione,Laine,1
ﾐﾚｰﾇ,Milene,Mileen,1
ｴﾘｰﾇ,Erine,Erin,1
ﾊｶﾞﾈ,Hagan,Hagane,1
ﾈﾙｿﾝ,Nelson,Nelson,1
ｾﾙｼﾞｵ,Cellgio,Viper,1
ﾊﾞｸﾞﾌｨｰ,Baggie,Bagril,1
ｱｲｰｼｬ,Aisha,Aisha,1
ﾀｲﾚﾙ,Tyrell,Talon,1
ｻﾀｰﾅ,Satana,Santana,1
ｷﾞｶﾞ,Giga,Gigg,1
ｼﾞｬﾛﾑ,Jarom,Ardor,1
ｳﾘﾙ,Uril,Uryll,1
ｷｯﾄﾞ,Kid,Kidd,1
ﾗﾑｾﾞｲ,Ramsey,Ramzal,1
ｷﾞｾﾞﾙﾀﾞｰｸ,Gizel Dark,Gyzzdark,1
ﾉｰﾏﾘｨ,Nomary,Wriph,1
ﾐｭﾘｱ,Muriah,Myria,1
ｺﾊｸ,Amber,Kodiak,1
ﾀﾞｲﾝ,Dyne,Dayn,1
ｻﾔｶ,Sayaka,Sayaka,1
ﾗﾝｾﾂ,Lanset,Sliver,1
ｸﾓﾝ,Kumon,Kumonn,1
ｷｮｳｴﾝ,Kyouen,Kyoem,1
ﾉｲｷｽ,Neux,Norse,1
ｼﾙﾋﾞｰ,Silvie,Silva,1
ﾃﾞｨｱﾝﾄﾞ,Dear and,Diablo,1
ﾊﾘﾙ,Haril,Faliel,1
ﾂﾞﾊﾞﾝ,Tsuban,Tzuvan,1
ﾍﾑ,Heme,Helm,1
ｶﾞｽﾊﾟｰ,Gasper,Gaspar,1
ﾏｰｼｬﾙ,Marshall,Rykker,1
ｶﾞﾝﾗﾄﾞ,Ganrad,Gunner,1
ﾖｰｸﾞ,Neg,Yuug,1
ｸﾞｽﾀﾌ,Gustav,Gustav,1
ｷﾞｮﾙ,Gyor,Golem,1
ｻﾞﾄﾞ,Zado,Zado,1
ｸﾞｲﾝｶﾞﾙ,Gingal,Vangal,1
ｼｪﾙﾝ,Sherun,Cher,1
ﾋｯｸｽ,Hix,Hikkis,1
ｶﾄﾏﾝﾄﾞｩ,Catmand,Katmando,1
ｾｰﾗ,Sera,Sierra,1
ｴﾝﾄﾞﾘｭｰ,Endry,Lone,1
ﾛｯｸ,Rock,Rock,1
ﾋﾙﾀﾞ,Hilda,Hilga,1
ﾎﾞﾙｶﾞﾉ,Volgano,Borgon,1
ｶﾃｨｽ,Katiss,Katis,1
ﾋﾞｭｰﾈ,View,Phylicia,1
ﾐﾙﾃｨｱ,Miltia,Milishea,1
ｸﾛﾌｫｰﾄﾞ,Croford,Crawford,1
ﾗﾝﾄﾞﾙﾌ,Landolf,Randolph,1
ｼﾄﾞ,Sid,Saul,1
ﾀｳｻﾞ,Town,Taulus,1
ｲｸﾞﾗｼｵ,Iglacio,Ogredd,1
ﾘｽｷｰﾏ,Risker,Ryskim,1
ﾊｲﾑ,High,Vlad,1
ｼﾛｳ,White,Shirou,1
ﾊﾔﾃ,Hate,Hayate,1
ｼﾞｮｼｭｱ,Joshua,Scar,1
ｵﾙﾃｶﾞ,Ortega,Ortega,1
ｷﾘｺ,Chirico,Cinna,1
ｱｲﾛｽ,Airos,Ayrios,1
ﾕﾆ,Uni,Yuni,1
ﾏﾆ,Mani,Katt,1
ﾊﾞｷﾞ,Bagi,Baghib,1
ﾗｷﾞ,Ragi,Rygar,1
ﾗｲｻﾞｯｸ,Rizak,Raizak,1
ｼｬｲｱ,Shire,Shaia,1
ﾕｲｶ,Yuika,Yanna,1
ｶﾞﾘｳｽ,Garius,Garyus,1
ﾒﾉﾙｶ,Minorca,Bardal,1
ﾄｲｽ,Toys,Tsugal,1
ｿﾌｨｰ,Sophie,Sophie,1
ﾗ･ﾃﾞﾘ,La Deli,Presto,1
ﾎｳﾗｲ,Howley,Mistal,1
ｼｵﾝ,Sion,Shione,1
ﾊﾞｸﾗ,Bakura,Jackal,1
ｼﾞｭｳﾍﾞｴ,Juve,Zagat,1
ﾗｲﾝﾉｰﾙ,Line Noll,Reiner,1
ﾃﾞｭﾗﾝ,Duran,Duran,1
ﾏﾉｱ,Manoa,Manoa,1
ｸﾞﾚﾝ,Glen,Gulen,1
ﾘﾘｱ,Lilia,Lyria,1
ｸﾞﾚｲｽ,Grace,Scythe,1
ｶﾙﾊｻﾞｰﾄﾞ,Cal Hazard,Kharhaz,1
ｷﾞﾃﾞｵﾝ,Gideon,Gaul,1
ﾘﾝｸ,Link,Link,1
ﾆｰﾅ,Nina,Nina,1
ｿﾏﾘｵﾝ,Somalion,Galam,1
ﾛｳ,Row,Rudger,1
ｼﾞｭﾉｰﾝ,Junon,Junon,1
ｺﾞﾝｺﾞｽ,Gongos,Gongos,1
ﾚｵﾝ,Leon,Leon,1
ﾚｲﾅｰﾄ,Late,Reinhart,1
ﾐｶﾂﾞｷ,Mikanoki,Mikhal,1
ﾃｨﾘｽ,Tirisu,Teiris,1
ｺﾞﾙﾀﾞｰｸ,Goldark,Goldark,1
ｳｪｲﾝ,Wayne,Wein,1
塔,Tower,Tower,1
影の塔,Shadow Tower,Shadow Tower,1
雪の神殿,Temple of snow,Snow Shrine,1
岬の神殿,Cape temple,Cape Shrine,1
森の神殿,Forest temple,Forest Shrine,1
魔の塔,Devil's Tower,Fiend Tower,1
メリウェル城,Meriwell Castle,Maryware Castle,1
オインツ城,Oints Castle,Ogrekeep Castle,1
アイネス城,INES Castle,Estonia Castle,1
ミケラル城,Michelal Castle,Mikeral Castle,1
ニケラル城,Nikeral Castle,Nikeral Castle,1
トランバン城,Trang Bang Castle,Travan Castle,1
アンビ城,Ambi Castle,Starfall Castle,1
ガーラン城,Garlan Castle,Crystal Castle,1
ソプニカ城,Sopnica Castle,Sophnyk Castle,1
デルユード城,Del Ude Castle,Blazart Castle,1
サーディア城,Sadia Castle,Sardia Castle,1
ロウラン城,Laurent Castle,Roguewar Castle,1
ガスペール城,Gaspar Castle,Gasparl Castle,1
ライトニア城,Lightnia Castle,Lightan Castle,1
アグニウス城,Agnius Castle,Stalwart Castle,1
デイナン城,Dainan Castle,Danyan Castle,1
ロイヤル城,Royal castle,Royal Castle,1
エターナル城,Eternal Castle,Eternal Castle,1
エルメント城,Elment Castle,Magicka Castle,1
クレストア城,Cresta Castle,Claystal Castle,1
オーヴイエ城,Auvie Castle,Orvue Castle,1
ジーナ城,Gina Castle,Ginan Castle,1
ブラッドリィ城,Bradley Castle,Bloodly Castle,1
ヒロイック城,Heroic Castle,Stoic Castle,1
ディード城,Deed Castle,Daiden Castle,1
ガーフィール城,Garfir Castle,Galfiel Castle,1
トリスタン城,Tristan Castle,Tristan Castle,1
ボザック城,Bossack Castle,Bozack Castle,1
トパーズ城,Topaz Castle,Topaz Castle,1
トラッドノア城,Trad Noah Castle,Tradnor Castle,1
イズモ城,Izumo Castle,Izumo Castle,1
ムーンパレス城,Moon Palace Castle,Palemoon Castle,1
ファンダリア城,Fundaria Castle,Fandaria Castle,1
ハイランド城,Highland Castle,Highland Castle,1
ﾄｳ,Tow,Tow,1
ｶｹﾞﾉﾄｳ,Kanoto,Kanoto,1
ﾕｷﾉｼﾝﾃﾞﾝ,Ukinosinden,Ukinosinden,1
ﾐｻｷﾉｼﾝﾃﾞﾝ,Misaki no Shinden,Misaki no Shinden,1
ﾓﾘﾉｼﾝﾃﾞﾝ,Morino Shinden,Morino Shinden,1
ﾊﾏﾉﾄｳ,Hamanoto,Hamanoto,1
ﾒﾘｳｪﾙ,Meriwell,Maryware,1
ｵｲﾝﾂ,Oin',Ogrekeep,1
ｱｲﾈｽ,INES,Estonia,1
ﾐｹﾗﾙ,Miral,Mikeral,1
ﾆｹﾗﾙ,Natural,Nikeral,1
ﾄﾗﾝﾊﾞﾝ,Tramban,Traven,1
ｱﾝﾋﾞ,Ambi,Starfall,1
ｶﾞｰﾗﾝ,Garlan,Crystal,1
ｿﾌﾟﾆｶ,Sopnica,Sophnik,1
ﾃﾞﾙﾕｰﾄﾞ,Del mode,Blazart,1
ｻｰﾃﾞｨｱ,Sardia,Sardia,1
ﾛｳﾗﾝ,Rowlan,Roguewar,1
ｶﾞｽﾍﾟｰﾙ,Gaspar,Gasparl,1
ﾗｲﾄﾆｱ,Litenia,Lightan,1
ｱｸﾞﾆｳｽ,Agnius,Stalwart,1
ﾃﾞｲﾅﾝ,Dyna,Danyan,1
ﾛｲﾔﾙ,Royal,Royal,1
ｴﾀｰﾅﾙ,Eternal,Eternal,1
ｴﾙﾒﾝﾄ,Elment,Magicka,1
ｸﾚｽﾄｱ,Crestor,Claystal,1
ｵｰｳﾞｲｴ,Ovie,Orvue,1
ｼﾞｰﾅ,Jeana,Ginan,1
ﾌﾞﾗｯﾄﾞﾘｨ,Bloody,Bloodly,1
ﾋﾛｲｯｸ,Heroic,Stoic,1
ﾃﾞｨｰﾄﾞ,Deed,Daiden,1
ｶﾞｰﾌｨｰﾙ,Garfield,Galfiel,1
ﾄﾘｽﾀﾝ,Tristan,Tristan,1
ﾎﾞｻﾞｯｸ,Bossack,Bozack,1
ﾄﾊﾟｰｽﾞ,Topaz,Topaz,1
ﾄﾗｯﾄﾞﾉｱ,Trad Noah,Tradnor,1
ｲｽﾞﾓ,Ismo,Izumo,1
ﾑｰﾝﾊﾟﾚｽ,Moon Palace,Palemoon,1
ﾌｧﾝﾀﾞﾘｱ,Fundaria,Fandaria,1
ﾊｲﾗﾝﾄﾞ,Highland,Highland,1
ｲﾝｼﾞｭﾘｰ,Injury,Injured,1
ﾌﾟﾘｽﾞﾅｰ,Prisoner,Captive,1
ﾉｰﾏﾙ,Normal,Normal,1
ﾃｨｱﾏｯﾄ,Tiamat,Astral Dragon,1
ｸﾞﾚｰﾄﾄﾞﾗｺﾞﾝ,Great dragon,Great Dragon,1
ﾊﾞﾊﾑｰﾄ,Bahamut,Blood Dragon,1
ﾚｯｻｰﾄﾞﾗｺﾞﾝ,Lesser dragon,Razor Dragon,1
ﾄﾞﾗｺﾞﾝ,Dragon,Dragon,1
ｳﾞｧﾝﾊﾟｲｱ,Vampire,Vampire,1
ｻｷｭﾊﾞｽ,Succubus,Succubus,1
?????,?????,,0
ﾋﾞｰｽﾄﾏｽﾀｰ,Beast Master,Beast Master,1
ﾋﾞｰｽﾄｷﾝｸﾞ,Beast King,Beast King,1
ﾋﾞｰｽﾄﾛｰﾄﾞ,Beast load,Beast Lord,1
ﾋﾞｰｽﾄﾏﾝ,Beastman,Beast,1
ﾊﾞｰﾊﾞﾘｱﾝ,Barbarian,Barbarian,1
ﾏｽﾀｰｼｰﾌ,Master thief,Racketeer,1
ﾛｰｸﾞﾘｰﾀﾞｰ,Log leader,Marauder,1
ﾊﾞﾝﾃﾞｯﾄ,Bandit,Highwayman,1
ｼｰﾌ,Thief,Thief,1
ﾛ-ｸﾞ,Log,Rogue,1
ｾｰｼﾞﾏｽﾀｰ,Sage master,Saint,1
ｾｰｼﾞ,Sage,Arch Bishop,1
ﾋﾞｼｮｯﾌﾟ,Bishop,Bishop,1
ﾊｲﾌﾟﾘｰｽﾄ,Hyperist,High Priest,1
ﾌﾟﾘｰｽﾄ,Priest,Priest,1
ﾊﾞﾄﾙﾏｽﾀｰ,Battle Master,Arch Monk,1
ﾏｽﾀｰﾓﾝｸ,Master monk,Kung Fucius,1
ｸﾝﾌｰﾏｽﾀｰ,Kung Fu Master,Kungfu Master,1
ｺﾏﾝﾄﾞ,Command,,1
ﾚﾝｼﾞｬｰ,Ranger,,1
ｼｬﾄﾞｳﾏｽﾀｰ,Shadow Master,Shadow Lord,1
ﾆﾝｼﾞｬﾏｽﾀｰ,Ninja Master,Arch Ninja,1
ﾊｲﾆﾝｼﾞｬ,Ninja,High Ninja,1
ｱｻｼﾝ,Assassin,Assassin,1
ﾆﾝｼﾞｬ,Ninja,Ninja,1
ｻﾑﾗｲﾏｽﾀｰ,Samurai Master,Samurai Lord,1
ｹﾝｺﾞｳ,Kengou,Blood Samurai,1
ｼﾊﾝﾀﾞｲ,Shihandai,High Samurai,1
ｻﾑﾗｲ,Samurai,Samurai,1
ｽﾛｳﾆﾝ,Slow Nin,Shogun,1
ﾏｼﾞｯｸﾏｽﾀｰ,Magic Master,Magic Lord,1
ｱｰｸﾒｲｼﾞ,Ark Mage,Necromancer,1
ｳｲｻﾞｰﾄﾞ,Wizard,Illusionist,1
ｿｰｻﾗ-,Sosara-,Sorcerer,1
ﾏｼﾞｼｬﾝ,Magician,Magician,1
ｻﾓﾝﾏｽﾀｰ,Sammon Star,Summon Lord,1
ﾛｰﾄﾞﾏﾝｻｰ,Roadmancer,Spirit Master,1
ｻﾓﾅ-,Samona-,Summoner,1
ﾄﾞﾙｲﾄﾞ,Druid,Druid,1
ｼｬ-ﾏﾝ,Sha-man,Shaman,1
ﾅｲﾄﾏｽﾀｰ,Night master,Spirit User,1
ﾊﾟﾗﾃﾞｨﾝ,Paladin,Paladin,1
ｼﾙﾊﾞｰﾅｲﾄ,Silver Night,Silver Knight,1
ﾎﾜｲﾄﾅｲﾄ,White Knight,White Knight,1
ﾅｲﾄ,Night,Knight,1
ｿｰﾄﾞﾏｽﾀｰ,Sword Master,Blademaster,1
ﾊｲﾗﾝﾀﾞｰ,British longhair,Highlander,1
ｳｫｰﾘｱｰ,Warrior,Warrior,1
ｿ-ﾄﾞﾏﾝ,Swordsman,Swordsman,1
ﾌｧｲﾀｰ,Fighter,Fighter,1
ｴﾝﾍﾟﾗｰ,Emperor,Emperor,1
ｽﾀｰﾛｰﾄﾞ,Star Road,Star Lord,1
ﾊｲﾛｰﾄﾞ,Hirodo,High Lord,1
ﾛｰﾄﾞ,Road,Lord,1
ｼﾞｪﾈﾗﾙ,General,General,1
ティアマット,Tiamat,Astral Dragon,1
グレートドラゴン,Great dragon,Great Dragon,1
バハムート,Bahamut,Blood Dragon,1
レッサードラゴン,Lesser dragon,Razor Dragon,1
ドラゴン,Dragon,Dragon,1
ヴァンパイア,Vampire,Vampire,1
サキュバス,Succubus,Succubus,1
？？？？？,?? ?? ?? ?? ??,,0
ビーストマスター,Beast Master,Beast Master,1
ビーストキング,Beast King,Beast King,1
ビーストロード,Beast Road,Beast Lord,1
